date,close,open,high,low
2013-11-14,100.02,99.22,100.15,99.11
2013-11-15,100.19,100.00,100.43,99.93
2013-11-18,100.00,100.16,100.39,99.77
2013-11-19,100.15,99.97,100.25,99.55
2013-11-20,100.03,100.12,100.23,99.77
2013-11-21,101.16,100.02,101.16,99.98
2013-11-22,101.28,101.15,101.35,100.92
2013-11-25,101.68,101.25,101.91,101.11
2013-11-26,101.30,101.67,101.71,101.13
2013-11-27,102.17,101.26,102.19,101.16
2013-11-28,102.32,102.13,102.37,101.91
2013-11-29,102.44,102.30,102.60,102.09
2013-12-02,102.95,102.42,103.13,102.20
2013-12-03,102.52,102.93,103.37,101.97
2013-12-04,102.36,102.48,102.83,101.81
2013-12-05,101.78,102.34,102.44,101.61
2013-12-06,102.91,101.76,102.96,101.61
2013-12-09,103.28,102.90,103.33,102.86
2013-12-10,102.84,103.27,103.39,102.55
2013-12-11,102.44,102.85,102.94,102.19
2013-12-12,103.38,102.41,103.43,102.35
2013-12-13,103.22,103.36,103.92,102.97
2013-12-16,103.03,103.19,103.32,102.62
2013-12-17,102.67,103.00,103.10,102.47
2013-12-18,104.28,102.65,104.35,102.53
2013-12-19,104.25,104.24,104.36,103.78
2013-12-20,104.08,104.23,104.63,103.84
2013-12-23,104.11,104.08,104.12,103.75
2013-12-24,104.36,104.09,104.41,104.07
2013-12-25,104.38,104.33,104.49,104.24
2013-12-26,104.81,104.35,104.84,104.35
2013-12-27,105.17,104.79,105.18,104.62
2013-12-30,105.16,105.13,105.41,104.95
2013-12-31,105.31,105.13,105.35,104.83
2014-01-01,105.25,105.28,105.40,105.18
2014-01-02,104.77,105.23,105.44,104.52
2014-01-03,104.86,104.78,104.87,104.05
2014-01-06,104.22,104.85,104.94,103.88
2014-01-07,104.62,104.20,104.73,104.16
2014-01-08,104.86,104.58,105.12,104.56
2014-01-09,104.83,104.83,105.05,104.55
2014-01-10,104.15,104.83,105.12,103.82
2014-01-13,103.00,104.09,104.13,102.83
2014-01-14,104.22,102.97,104.28,102.97
2014-01-15,104.56,104.20,104.69,104.06
2014-01-16,104.36,104.54,104.94,104.12
2014-01-17,104.31,104.33,104.50,104.17
2014-01-20,104.18,104.26,104.34,103.84
